indic_is,unit,sizen_r2,geo\time	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 
E_AESBEU,PC_ENT,10_C10_18,HR	: 	: 	9 	: 	11 	: 	7 	: 	13 	: 	: 
E_AESBEU,PC_ENT,10_C10_18,HU	: 	: 	6 	: 	8 	: 	7 	: 	6 	: 	: 
E_AESBEU,PC_ENT,10_C10_18,IE	: 	: 	: 	: 	36 	: 	31 	: 	28 	: 	: 
E_AESBEU,PC_ENT,10_C10_18,IT	: 	: 	24 	: 	18 	: 	: u	: 	7 	: 	: 
E_AESBEU,PC_ENT,10_C10_18,LT	: 	: 	: 	: 	: 	: 	13 	: 	17 	: 	: 
E_AESBEU,PC_ENT,10_C10_18,LU	: 	: 	33 	: 	30 	: 	45 	: 	38 	: 	: 
E_AESBEU,PC_ENT,10_C10_18,LV	: 	: 	16 	: 	13 	: 	7 	: 	7 	: 	: 
E_AESBEU,PC_ENT,10_C10_18,MK	: 	: 	: 	: 	1 	: 	3 	: 	: u	: 	: 
E_AESBEU,PC_ENT,10_C10_18,MT	: 	: 	: 	: 	: 	: 	: 	: 	16 	: 	: 
E_AESBEU,PC_ENT,10_C10_18,NL	: 	: 	27 	: 	21 	: 	20 	: 	13 	: 	: 
E_AESBEU,PC_ENT,10_C10_18,NO	: 	: 	10 	: 	8 	: 	8 	: 	14 	: 	: 
E_AESBEU,PC_ENT,10_C10_18,PL	: 	: 	7 	: 	5 	: 	6 	: 	: u	: 	: 
E_AESBEU,PC_ENT,10_C10_18,PT	: 	: 	14 	: 	12 	: 	9 	: 	10 	: 	: 
E_AESBEU,PC_ENT,10_C10_18,RO	: 	: 	1 	: 	: 	: 	: 	: 	2 	: 	: 
E_AESBEU,PC_ENT,10_C10_18,RS	: 	: 	17 	: 	: 	: 	: 	: 	: 	: 	: 
E_AESBEU,PC_ENT,10_C10_18,SE	: 	: 	15 	: 	: 	: 	: 	: 	17 	: 	: 
E_AESBEU,PC_ENT,10_C10_18,SI	: 	: 	: 	: 	8 	: 	10 	: 	14 	: 	: 
E_AESBEU,PC_ENT,10_C10_18,SK	: 	: 	12 	: 	14 	: 	20 	: 	7 	: 	: 
E_AESBEU,PC_ENT,10_C10_18,UK	: 	: 	: 	: 	: 	: 	: 	: 	17 	: 	: 
E_AESBEU,PC_ENT,10_C10_33,AT	: 	: 	: 	: 	: 	: 	: 	: 	46 	: 	: 
E_AESBEU,PC_ENT,10_C10_33,BE	: 	: 	: 	: 	: 	: 	11 	: 	30 	: 	: 
E_AESBEU,PC_ENT,10_C10_33,BG	: 	: 	5 	: 	8 	: 	5 	: 	4 	: 	: 
E_AESBEU,PC_ENT,10_C10_33,CY	: 	: 	10 	: 	19 	: 	8 	: 	19 	: 	: 
E_AESBEU,PC_ENT,10_C10_33,CZ	: 	: 	31 	: 	28 	: 	28 	: 	24 	: 	: 
E_AESBEU,PC_ENT,10_C10_33,DE	: 	: 	: 	: 	19 	: 	19 	: 	: u	: 	: 
E_AESBEU,PC_ENT,10_C10_33,DK	: 	: 	: 	: 	: 	: 	: 	: 	40 	: 	: 
E_AESBEU,PC_ENT,10_C10_33,EA	: 	: 	: 	: 	20 	: 	17 	: 	15 	: 	: 
E_AESBEU,PC_ENT,10_C10_33,EE	: 	: 	19 	: 	10 	: 	10 	: 	9 	: 	: 
E_AESBEU,PC_ENT,10_C10_33,EL	: 	: 	5 	: 	10 	: 	: u	: 	8 	: 	: 
E_AESBEU,PC_ENT,10_C10_33,ES	: 	: 	17 	: 	12 	: 	9 	: 	9 	: 	: 
E_AESBEU,PC_ENT,10_C10_33,EU15	: 	: 	: 	: 	: 	: 	17 	: 	16 	: 	: 
E_AESBEU,PC_ENT,10_C10_33,EU27	: 	: 	: 	: 	18 	: 	16 	: 	15 	: 	: 
E_AESBEU,PC_ENT,10_C10_33,EU27_2019	: 	: 	: 	: 	18 	: 	16 	: 	14 	: 	: 
E_AESBEU,PC_ENT,10_C10_33,EU28	: 	: 	: 	: 	18 	: 	16 	: 	15 	: 	: 
E_AESBEU,PC_ENT,10_C10_33,FI	: 	: 	: 	: 	28 	: 	: 	: 	21 	: 	: 
E_AESBEU,PC_ENT,10_C10_33,FR	: 	: 	: 	: 	: 	: 	14 	: 	14 	: 	: 
E_AESBEU,PC_ENT,10_C10_33,HR	: 	: 	12 	: 	15 	: 	11 	: 	22 	: 	: 
E_AESBEU,PC_ENT,10_C10_33,HU	: 	: 	13 	: 	14 	: 	12 	: 	12 	: 	: 
E_AESBEU,PC_ENT,10_C10_33,IE	: 	: 	: 	: 	39 	: 	33 	: 	30 	: 	: 
E_AESBEU,PC_ENT,10_C10_33,IT	: 	: 	29 	: 	23 	: 	: u	: 	11 	: 	: 
E_AESBEU,PC_ENT,10_C10_33,LT	: 	: 	: 	: 	: 	: 	16 	: 	20 	: 	: 
E_AESBEU,PC_ENT,10_C10_33,LU	: 	: 	41 	: 	36 	: 	41 	: 	: c	: 	: 
E_AESBEU,PC_ENT,10_C10_33,LV	: 	: 	18 	: 	17 	: 	9 	: 	11 	: 	: 
E_AESBEU,PC_ENT,10_C10_33,MK	: 	: 	: 	: 	2 	: 	4 	: 	: u	: 	: 
E_AESBEU,PC_ENT,10_C10_33,MT	: 	: 	: 	: 	: 	: 	: 	: 	21 	: 	: 
