indic_is,unit,sizen_r2,geo\time	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 
E_AESBHM,PC_ENT,10_C19_23,EA	: 	: 	: 	: 	: 	: 	: 	: 	37 	: 	: 
E_AESBHM,PC_ENT,10_C19_23,EE	: 	: 	: 	: 	: 	: 	: 	: 	15 	: 	: 
E_AESBHM,PC_ENT,10_C19_23,EL	: 	: 	: 	: 	: 	: 	: 	: 	10 	: 	: 
E_AESBHM,PC_ENT,10_C19_23,ES	: 	: 	: 	: 	: 	: 	: 	: 	23 	: 	: 
E_AESBHM,PC_ENT,10_C19_23,EU15	: 	: 	: 	: 	: 	: 	: 	: 	41 	: 	: 
E_AESBHM,PC_ENT,10_C19_23,EU27	: 	: 	: 	: 	: 	: 	: 	: 	37 	: 	: 
E_AESBHM,PC_ENT,10_C19_23,EU27_2019	: 	: 	: 	: 	: 	: 	: 	: 	35 	: 	: 
E_AESBHM,PC_ENT,10_C19_23,EU28	: 	: 	: 	: 	: 	: 	: 	: 	37 	: 	: 
E_AESBHM,PC_ENT,10_C19_23,FI	: 	: 	: 	: 	: 	: 	: 	: 	51 	: 	: 
E_AESBHM,PC_ENT,10_C19_23,FR	: 	: 	: 	: 	: 	: 	: 	: 	44 	: 	: 
E_AESBHM,PC_ENT,10_C19_23,HR	: 	: 	: 	: 	: 	: 	: 	: 	33 	: 	: 
E_AESBHM,PC_ENT,10_C19_23,HU	: 	: 	: 	: 	: 	: 	: 	: 	35 	: 	: 
E_AESBHM,PC_ENT,10_C19_23,IE	: 	: 	: 	: 	: 	: 	: 	: 	52 	: 	: 
E_AESBHM,PC_ENT,10_C19_23,IT	: 	: 	: 	: 	: 	: 	: 	: 	27 	: 	: 
E_AESBHM,PC_ENT,10_C19_23,LT	: 	: 	: 	: 	: 	: 	: 	: 	43 	: 	: 
E_AESBHM,PC_ENT,10_C19_23,LU	: 	: 	: 	: 	: 	: 	: 	: 	: c	: 	: 
E_AESBHM,PC_ENT,10_C19_23,LV	: 	: 	: 	: 	: 	: 	: 	: 	25 	: 	: 
E_AESBHM,PC_ENT,10_C19_23,MK	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 
E_AESBHM,PC_ENT,10_C19_23,MT	: 	: 	: 	: 	: 	: 	: 	: 	8 	: 	: 
E_AESBHM,PC_ENT,10_C19_23,NL	: 	: 	: 	: 	: 	: 	: 	: 	48 	: 	: 
E_AESBHM,PC_ENT,10_C19_23,NO	: 	: 	: 	: 	: 	: 	: 	: 	63 	: 	: 
E_AESBHM,PC_ENT,10_C19_23,PL	: 	: 	: 	: 	: 	: 	: 	: 	22 	: 	: 
E_AESBHM,PC_ENT,10_C19_23,PT	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 
E_AESBHM,PC_ENT,10_C19_23,RO	: 	: 	: 	: 	: 	: 	: 	: 	12 	: 	: 
E_AESBHM,PC_ENT,10_C19_23,SE	: 	: 	: 	: 	: 	: 	: 	: 	62 	: 	: 
E_AESBHM,PC_ENT,10_C19_23,SI	: 	: 	: 	: 	: 	: 	: 	: 	22 	: 	: 
E_AESBHM,PC_ENT,10_C19_23,SK	: 	: 	: 	: 	: 	: 	: 	: 	31 	: 	: 
E_AESBHM,PC_ENT,10_C19_23,UK	: 	: 	: 	: 	: 	: 	: 	: 	60 	: 	: 
E_AESBHM,PC_ENT,10_C24_25,AT	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 
E_AESBHM,PC_ENT,10_C24_25,BE	: 	: 	: 	: 	: 	: 	: 	: 	45 	: 	: 
E_AESBHM,PC_ENT,10_C24_25,BG	: 	: 	: 	: 	: 	: 	: 	: 	8 	: 	: 
E_AESBHM,PC_ENT,10_C24_25,CY	: 	: 	: 	: 	: 	: 	: 	: 	6 	: 	: 
E_AESBHM,PC_ENT,10_C24_25,CZ	: 	: 	: 	: 	: 	: 	: 	: 	43 	: 	: 
E_AESBHM,PC_ENT,10_C24_25,DE	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 
E_AESBHM,PC_ENT,10_C24_25,DK	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 
E_AESBHM,PC_ENT,10_C24_25,EA	: 	: 	: 	: 	: 	: 	: 	: 	32 	: 	: 
E_AESBHM,PC_ENT,10_C24_25,EE	: 	: 	: 	: 	: 	: 	: 	: 	9 	: 	: 
E_AESBHM,PC_ENT,10_C24_25,EL	: 	: 	: 	: 	: 	: 	: 	: 	16 	: 	: 
E_AESBHM,PC_ENT,10_C24_25,ES	: 	: 	: 	: 	: 	: 	: 	: 	22 	: 	: 
E_AESBHM,PC_ENT,10_C24_25,EU15	: 	: 	: 	: 	: 	: 	: 	: 	34 	: 	: 
E_AESBHM,PC_ENT,10_C24_25,EU27	: 	: 	: 	: 	: 	: 	: 	: 	32 	: 	: 
E_AESBHM,PC_ENT,10_C24_25,EU27_2019	: 	: 	: 	: 	: 	: 	: 	: 	31 	: 	: 
E_AESBHM,PC_ENT,10_C24_25,EU28	: 	: 	: 	: 	: 	: 	: 	: 	32 	: 	: 
E_AESBHM,PC_ENT,10_C24_25,FI	: 	: 	: 	: 	: 	: 	: 	: 	43 	: 	: 
E_AESBHM,PC_ENT,10_C24_25,FR	: 	: 	: 	: 	: 	: 	: 	: 	31 	: 	: 
E_AESBHM,PC_ENT,10_C24_25,HR	: 	: 	: 	: 	: 	: 	: 	: 	25 	: 	: 
E_AESBHM,PC_ENT,10_C24_25,HU	: 	: 	: 	: 	: 	: 	: 	: 	33 	: 	: 
E_AESBHM,PC_ENT,10_C24_25,IE	: 	: 	: 	: 	: 	: 	: 	: 	48 	: 	: 
E_AESBHM,PC_ENT,10_C24_25,IT	: 	: 	: 	: 	: 	: 	: 	: 	19 	: 	: 
E_AESBHM,PC_ENT,10_C24_25,LT	: 	: 	: 	: 	: 	: 	: 	: 	36 	: 	: 
E_AESBHM,PC_ENT,10_C24_25,LU	: 	: 	: 	: 	: 	: 	: 	: 	39 	: 	: 
E_AESBHM,PC_ENT,10_C24_25,LV	: 	: 	: 	: 	: 	: 	: 	: 	24 	: 	: 
E_AESBHM,PC_ENT,10_C24_25,MK	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 
E_AESBHM,PC_ENT,10_C24_25,MT	: 	: 	: 	: 	: 	: 	: 	: 	20 	: 	: 
E_AESBHM,PC_ENT,10_C24_25,NL	: 	: 	: 	: 	: 	: 	: 	: 	37 	: 	: 
E_AESBHM,PC_ENT,10_C24_25,NO	: 	: 	: 	: 	: 	: 	: 	: 	42 	: 	: 
E_AESBHM,PC_ENT,10_C24_25,PL	: 	: 	: 	: 	: 	: 	: 	: 	15 	: 	: 
E_AESBHM,PC_ENT,10_C24_25,PT	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 
E_AESBHM,PC_ENT,10_C24_25,RO	: 	: 	: 	: 	: 	: 	: 	: 	2 	: 	: 
E_AESBHM,PC_ENT,10_C24_25,SE	: 	: 	: 	: 	: 	: 	: 	: 	50 	: 	: 
E_AESBHM,PC_ENT,10_C24_25,SI	: 	: 	: 	: 	: 	: 	: 	: 	13 	: 	: 
E_AESBHM,PC_ENT,10_C24_25,SK	: 	: 	: 	: 	: 	: 	: 	: 	22 	: 	: 
E_AESBHM,PC_ENT,10_C24_25,UK	: 	: 	: 	: 	: 	: 	: 	: 	44 	: 	: 
E_AESBHM,PC_ENT,10_C26,AT	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 
E_AESBHM,PC_ENT,10_C26,BE	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 
E_AESBHM,PC_ENT,10_C26,BG	: 	: 	: 	: 	: 	: 	: 	: 	16 	: 	: 
E_AESBHM,PC_ENT,10_C26,CY	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 
E_AESBHM,PC_ENT,10_C26,CZ	: 	: 	: 	: 	: 	: 	: 	: 	63 	: 	: 
E_AESBHM,PC_ENT,10_C26,DE	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 
E_AESBHM,PC_ENT,10_C26,DK	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 
E_AESBHM,PC_ENT,10_C26,EA	: 	: 	: 	: 	: 	: 	: 	: 	48 	: 	: 
E_AESBHM,PC_ENT,10_C26,EE	: 	: 	: 	: 	: 	: 	: 	: 	24 	: 	: 
E_AESBHM,PC_ENT,10_C26,EL	: 	: 	: 	: 	: 	: 	: 	: 	24 	: 	: 
E_AESBHM,PC_ENT,10_C26,ES	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 
E_AESBHM,PC_ENT,10_C26,EU15	: 	: 	: 	: 	: 	: 	: 	: 	54 	: 	: 
E_AESBHM,PC_ENT,10_C26,EU27	: 	: 	: 	: 	: 	: 	: 	: 	52 	: 	: 
E_AESBHM,PC_ENT,10_C26,EU27_2019	: 	: 	: 	: 	: 	: 	: 	: 	49 	: 	: 
E_AESBHM,PC_ENT,10_C26,EU28	: 	: 	: 	: 	: 	: 	: 	: 	52 	: 	: 
E_AESBHM,PC_ENT,10_C26,FI	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 
E_AESBHM,PC_ENT,10_C26,FR	: 	: 	: 	: 	: 	: 	: 	: 	44 	: 	: 
E_AESBHM,PC_ENT,10_C26,HR	: 	: 	: 	: 	: 	: 	: 	: 	72 	: 	: 
E_AESBHM,PC_ENT,10_C26,HU	: 	: 	: 	: 	: 	: 	: 	: 	49 	: 	: 
E_AESBHM,PC_ENT,10_C26,IE	: 	: 	: 	: 	: 	: 	: 	: 	63 	: 	: 
E_AESBHM,PC_ENT,10_C26,IT	: 	: 	: 	: 	: 	: 	: 	: 	44 	: 	: 
E_AESBHM,PC_ENT,10_C26,LT	: 	: 	: 	: 	: 	: 	: 	: 	60 	: 	: 
E_AESBHM,PC_ENT,10_C26,LU	: 	: 	: 	: 	: 	: 	: 	: 	: c	: 	: 
E_AESBHM,PC_ENT,10_C26,LV	: 	: 	: 	: 	: 	: 	: 	: 	66 	: 	: 
E_AESBHM,PC_ENT,10_C26,MK	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 
E_AESBHM,PC_ENT,10_C26,MT	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 
E_AESBHM,PC_ENT,10_C26,NL	: 	: 	: 	: 	: 	: 	: 	: 	52 	: 	: 
E_AESBHM,PC_ENT,10_C26,NO	: 	: 	: 	: 	: 	: 	: 	: 	84 	: 	: 
E_AESBHM,PC_ENT,10_C26,PL	: 	: 	: 	: 	: 	: 	: 	: 	44 	: 	: 
E_AESBHM,PC_ENT,10_C26,PT	: 	: 	: 	: 	: 	: 	: 	: 	42 	: 	: 
E_AESBHM,PC_ENT,10_C26,RO	: 	: 	: 	: 	: 	: 	: 	: 	15 	: 	: 
E_AESBHM,PC_ENT,10_C26,SE	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 
E_AESBHM,PC_ENT,10_C26,SI	: 	: 	: 	: 	: 	: 	: 	: 	52 	: 	: 
E_AESBHM,PC_ENT,10_C26,SK	: 	: 	: 	: 	: 	: 	: 	: 	29 	: 	: 
E_AESBHM,PC_ENT,10_C26,UK	: 	: 	: 	: 	: 	: 	: 	: 	71 	: 	: 
E_AESBHM,PC_ENT,10_C26_33,AT	: 	: 	: 	: 	: 	: 	: 	: 	66 	: 	: 
E_AESBHM,PC_ENT,10_C26_33,BE	: 	: 	: 	: 	: 	: 	: 	: 	49 	: 	: 
E_AESBHM,PC_ENT,10_C26_33,BG	: 	: 	: 	: 	: 	: 	: 	: 	11 	: 	: 
E_AESBHM,PC_ENT,10_C26_33,CY	: 	: 	: 	: 	: 	: 	: 	: 	6 	: 	: 
E_AESBHM,PC_ENT,10_C26_33,CZ	: 	: 	: 	: 	: 	: 	: 	: 	53 	: 	: 
E_AESBHM,PC_ENT,10_C26_33,DE	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 
E_AESBHM,PC_ENT,10_C26_33,DK	: 	: 	: 	: 	: 	: 	: 	: 	77 	: 	: 
E_AESBHM,PC_ENT,10_C26_33,EA	: 	: 	: 	: 	: 	: 	: 	: 	40 	: 	: 
E_AESBHM,PC_ENT,10_C26_33,EE	: 	: 	: 	: 	: 	: 	: 	: 	10 	: 	: 
E_AESBHM,PC_ENT,10_C26_33,EL	: 	: 	: 	: 	: 	: 	: 	: 	15 	: 	: 
E_AESBHM,PC_ENT,10_C26_33,ES	: 	: 	: 	: 	: 	: 	: 	: 	27 	: 	: 
E_AESBHM,PC_ENT,10_C26_33,EU15	: 	: 	: 	: 	: 	: 	: 	: 	43 	: 	: 
E_AESBHM,PC_ENT,10_C26_33,EU27	: 	: 	: 	: 	: 	: 	: 	: 	41 	: 	: 
E_AESBHM,PC_ENT,10_C26_33,EU27_2019	: 	: 	: 	: 	: 	: 	: 	: 	40 	: 	: 
E_AESBHM,PC_ENT,10_C26_33,EU28	: 	: 	: 	: 	: 	: 	: 	: 	41 	: 	: 
E_AESBHM,PC_ENT,10_C26_33,FI	: 	: 	: 	: 	: 	: 	: 	: 	56 	: 	: 
E_AESBHM,PC_ENT,10_C26_33,FR	: 	: 	: 	: 	: 	: 	: 	: 	38 	: 	: 
E_AESBHM,PC_ENT,10_C26_33,HR	: 	: 	: 	: 	: 	: 	: 	: 	41 	: 	: 
E_AESBHM,PC_ENT,10_C26_33,HU	: 	: 	: 	: 	: 	: 	: 	: 	43 	: 	: 
E_AESBHM,PC_ENT,10_C26_33,IE	: 	: 	: 	: 	: 	: 	: 	: 	55 	: 	: 
E_AESBHM,PC_ENT,10_C26_33,IT	: 	: 	: 	: 	: 	: 	: 	: 	31 	: 	: 
E_AESBHM,PC_ENT,10_C26_33,LT	: 	: 	: 	: 	: 	: 	: 	: 	38 	: 	: 
E_AESBHM,PC_ENT,10_C26_33,LU	: 	: 	: 	: 	: 	: 	: 	: 	36 	: 	: 
E_AESBHM,PC_ENT,10_C26_33,LV	: 	: 	: 	: 	: 	: 	: 	: 	33 	: 	: 
E_AESBHM,PC_ENT,10_C26_33,MK	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 
E_AESBHM,PC_ENT,10_C26_33,MT	: 	: 	: 	: 	: 	: 	: 	: 	14 	: 	: 
E_AESBHM,PC_ENT,10_C26_33,NL	: 	: 	: 	: 	: 	: 	: 	: 	45 	: 	: 
E_AESBHM,PC_ENT,10_C26_33,NO	: 	: 	: 	: 	: 	: 	: 	: 	60 	: 	: 
E_AESBHM,PC_ENT,10_C26_33,PL	: 	: 	: 	: 	: 	: 	: 	: 	27 	: 	: 
E_AESBHM,PC_ENT,10_C26_33,PT	: 	: 	: 	: 	: 	: 	: 	: 	23 	: 	: 
E_AESBHM,PC_ENT,10_C26_33,RO	: 	: 	: 	: 	: 	: 	: 	: 	9 	: 	: 
E_AESBHM,PC_ENT,10_C26_33,SE	: 	: 	: 	: 	: 	: 	: 	: 	64 	: 	: 
E_AESBHM,PC_ENT,10_C26_33,SI	: 	: 	: 	: 	: 	: 	: 	: 	31 	: 	: 
E_AESBHM,PC_ENT,10_C26_33,SK	: 	: 	: 	: 	: 	: 	: 	: 	23 	: 	: 
E_AESBHM,PC_ENT,10_C26_33,UK	: 	: 	: 	: 	: 	: 	: 	: 	54 	: 	: 
E_AESBHM,PC_ENT,10_C27_28,AT	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 
E_AESBHM,PC_ENT,10_C27_28,BE	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 
E_AESBHM,PC_ENT,10_C27_28,BG	: 	: 	: 	: 	: 	: 	: 	: 	11 	: 	: 
E_AESBHM,PC_ENT,10_C27_28,CY	: 	: 	: 	: 	: 	: 	: 	: 	6 	: 	: 
E_AESBHM,PC_ENT,10_C27_28,CZ	: 	: 	: 	: 	: 	: 	: 	: 	53 	: 	: 
E_AESBHM,PC_ENT,10_C27_28,DE	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 
E_AESBHM,PC_ENT,10_C27_28,DK	: 	: 	: 	: 	: 	: 	: 	: 	77 	: 	: 
E_AESBHM,PC_ENT,10_C27_28,EA	: 	: 	: 	: 	: 	: 	: 	: 	45 	: 	: 
E_AESBHM,PC_ENT,10_C27_28,EE	: 	: 	: 	: 	: 	: 	: 	: 	14 	: 	: 
E_AESBHM,PC_ENT,10_C27_28,EL	: 	: 	: 	: 	: 	: 	: 	: 	25 	: 	: 
E_AESBHM,PC_ENT,10_C27_28,ES	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 
E_AESBHM,PC_ENT,10_C27_28,EU15	: 	: 	: 	: 	: 	: 	: 	: 	48 	: 	: 
E_AESBHM,PC_ENT,10_C27_28,EU27	: 	: 	: 	: 	: 	: 	: 	: 	45 	: 	: 
E_AESBHM,PC_ENT,10_C27_28,EU27_2019	: 	: 	: 	: 	: 	: 	: 	: 	44 	: 	: 
E_AESBHM,PC_ENT,10_C27_28,EU28	: 	: 	: 	: 	: 	: 	: 	: 	45 	: 	: 
E_AESBHM,PC_ENT,10_C27_28,FI	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 
E_AESBHM,PC_ENT,10_C27_28,FR	: 	: 	: 	: 	: 	: 	: 	: 	44 	: 	: 
E_AESBHM,PC_ENT,10_C27_28,HR	: 	: 	: 	: 	: 	: 	: 	: 	43 	: 	: 
E_AESBHM,PC_ENT,10_C27_28,HU	: 	: 	: 	: 	: 	: 	: 	: 	42 	: 	: 
E_AESBHM,PC_ENT,10_C27_28,IE	: 	: 	: 	: 	: 	: 	: 	: 	63 	: 	: 
E_AESBHM,PC_ENT,10_C27_28,IT	: 	: 	: 	: 	: 	: 	: 	: 	32 	: 	: 
E_AESBHM,PC_ENT,10_C27_28,LT	: 	: 	: 	: 	: 	: 	: 	: 	35 	: 	: 
E_AESBHM,PC_ENT,10_C27_28,LU	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 
E_AESBHM,PC_ENT,10_C27_28,LV	: 	: 	: 	: 	: 	: 	: 	: 	48 	: 	: 
E_AESBHM,PC_ENT,10_C27_28,MK	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 
E_AESBHM,PC_ENT,10_C27_28,MT	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 
E_AESBHM,PC_ENT,10_C27_28,NL	: 	: 	: 	: 	: 	: 	: 	: 	41 	: 	: 
E_AESBHM,PC_ENT,10_C27_28,NO	: 	: 	: 	: 	: 	: 	: 	: 	69 	: 	: 
E_AESBHM,PC_ENT,10_C27_28,PL	: 	: 	: 	: 	: 	: 	: 	: 	27 	: 	: 
E_AESBHM,PC_ENT,10_C27_28,PT	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 
E_AESBHM,PC_ENT,10_C27_28,RO	: 	: 	: 	: 	: 	: 	: 	: 	15 	: 	: 
E_AESBHM,PC_ENT,10_C27_28,SE	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 
E_AESBHM,PC_ENT,10_C27_28,SI	: 	: 	: 	: 	: 	: 	: 	: 	27 	: 	: 
E_AESBHM,PC_ENT,10_C27_28,SK	: 	: 	: 	: 	: 	: 	: 	: 	22 	: 	: 
E_AESBHM,PC_ENT,10_C27_28,UK	: 	: 	: 	: 	: 	: 	: 	: 	53 	: 	: 
E_AESBHM,PC_ENT,10_C29_30,AT	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 
E_AESBHM,PC_ENT,10_C29_30,BE	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 
E_AESBHM,PC_ENT,10_C29_30,BG	: 	: 	: 	: 	: 	: 	: 	: 	8 	: 	: 
E_AESBHM,PC_ENT,10_C29_30,CY	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 
E_AESBHM,PC_ENT,10_C29_30,CZ	: 	: 	: 	: 	: 	: 	: 	: 	69 	: 	: 
E_AESBHM,PC_ENT,10_C29_30,DE	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 
E_AESBHM,PC_ENT,10_C29_30,DK	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 
E_AESBHM,PC_ENT,10_C29_30,EA	: 	: 	: 	: 	: 	: 	: 	: 	42 	: 	: 
E_AESBHM,PC_ENT,10_C29_30,EE	: 	: 	: 	: 	: 	: 	: 	: 	8 	: 	: 
E_AESBHM,PC_ENT,10_C29_30,EL	: 	: 	: 	: 	: 	: 	: 	: 	1 	: 	: 
E_AESBHM,PC_ENT,10_C29_30,ES	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 
E_AESBHM,PC_ENT,10_C29_30,EU15	: 	: 	: 	: 	: 	: 	: 	: 	46 	: 	: 
E_AESBHM,PC_ENT,10_C29_30,EU27	: 	: 	: 	: 	: 	: 	: 	: 	44 	: 	: 
E_AESBHM,PC_ENT,10_C29_30,EU27_2019	: 	: 	: 	: 	: 	: 	: 	: 	42 	: 	: 
E_AESBHM,PC_ENT,10_C29_30,EU28	: 	: 	: 	: 	: 	: 	: 	: 	44 	: 	: 
E_AESBHM,PC_ENT,10_C29_30,FI	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 
E_AESBHM,PC_ENT,10_C29_30,FR	: 	: 	: 	: 	: 	: 	: 	: 	45 	: 	: 
E_AESBHM,PC_ENT,10_C29_30,HR	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 
E_AESBHM,PC_ENT,10_C29_30,HU	: 	: 	: 	: 	: 	: 	: 	: 	46 	: 	: 
E_AESBHM,PC_ENT,10_C29_30,IE	: 	: 	: 	: 	: 	: 	: 	: 	51 	: 	: 
E_AESBHM,PC_ENT,10_C29_30,IT	: 	: 	: 	: 	: 	: 	: 	: 	29 	: 	: 
E_AESBHM,PC_ENT,10_C29_30,LT	: 	: 	: 	: 	: 	: 	: 	: 	38 	: 	: 
E_AESBHM,PC_ENT,10_C29_30,LU	: 	: 	: 	: 	: 	: 	: 	: 	: c	: 	: 
E_AESBHM,PC_ENT,10_C29_30,LV	: 	: 	: 	: 	: 	: 	: 	: 	29 	: 	: 
E_AESBHM,PC_ENT,10_C29_30,MK	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	: 
E_AESBHM,PC_ENT,10_C29_30,MT	: 	: 	: 	: 	: 	: 	: 	: 	: c	: 	: 
E_AESBHM,PC_ENT,10_C29_30,NL	: 	: 	: 	: 	: 	: 	: 	: 	44 	: 	: 
E_AESBHM,PC_ENT,10_C29_30,NO	: 	: 	: 	: 	: 	: 	: 	: 	62 	: 	: 
E_AESBHM,PC_ENT,10_C29_30,PL	: 	: 	: 	: 	: 	: 	: 	: 	29 	: 	: 
E_AESBHM,PC_ENT,10_C29_30,PT	: 	: 	: 	: 	: 	: 	: 	: 	21 	: 	: 
E_AESBHM,PC_ENT,10_C29_30,RO	: 	: 	: 	: 	: 	: 	: 	: 	18 	: 	: 
E_AESBHM,PC_ENT,10_C29_30,SE	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 
E_AESBHM,PC_ENT,10_C29_30,SI	: 	: 	: 	: 	: 	: 	: 	: 	42 	: 	: 
E_AESBHM,PC_ENT,10_C29_30,SK	: 	: 	: 	: 	: 	: 	: 	: 	43 	: 	: 
E_AESBHM,PC_ENT,10_C29_30,UK	: 	: 	: 	: 	: 	: 	: 	: 	58 	: 	: 
E_AESBHM,PC_ENT,10_C31_33,AT	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 
E_AESBHM,PC_ENT,10_C31_33,BE	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 
E_AESBHM,PC_ENT,10_C31_33,BG	: 	: 	: 	: 	: 	: 	: 	: 	11 	: 	: 
E_AESBHM,PC_ENT,10_C31_33,CY	: 	: 	: 	: 	: 	: 	: 	: 	6 	: 	: 
E_AESBHM,PC_ENT,10_C31_33,CZ	: 	: 	: 	: 	: 	: 	: 	: 	46 	: 	: 
E_AESBHM,PC_ENT,10_C31_33,DE	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 
E_AESBHM,PC_ENT,10_C31_33,DK	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 
E_AESBHM,PC_ENT,10_C31_33,EA	: 	: 	: 	: 	: 	: 	: 	: 	33 	: 	: 
E_AESBHM,PC_ENT,10_C31_33,EE	: 	: 	: 	: 	: 	: 	: 	: 	6 	: 	: 
E_AESBHM,PC_ENT,10_C31_33,EL	: 	: 	: 	: 	: 	: 	: 	: 	10 	: 	: 
E_AESBHM,PC_ENT,10_C31_33,ES	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 
E_AESBHM,PC_ENT,10_C31_33,EU15	: 	: 	: 	: 	: 	: 	: 	: 	36 	: 	: 
E_AESBHM,PC_ENT,10_C31_33,EU27	: 	: 	: 	: 	: 	: 	: 	: 	33 	: 	: 
E_AESBHM,PC_ENT,10_C31_33,EU27_2019	: 	: 	: 	: 	: 	: 	: 	: 	32 	: 	: 
E_AESBHM,PC_ENT,10_C31_33,EU28	: 	: 	: 	: 	: 	: 	: 	: 	33 	: 	: 
E_AESBHM,PC_ENT,10_C31_33,FI	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 
E_AESBHM,PC_ENT,10_C31_33,FR	: 	: 	: 	: 	: 	: 	: 	: 	32 	: 	: 
E_AESBHM,PC_ENT,10_C31_33,HR	: 	: 	: 	: 	: 	: 	: 	: 	39 	: 	: 
E_AESBHM,PC_ENT,10_C31_33,HU	: 	: 	: 	: 	: 	: 	: 	: 	40 	: 	: 
E_AESBHM,PC_ENT,10_C31_33,IE	: 	: 	: 	: 	: 	: 	: 	: 	46 	: 	: 
E_AESBHM,PC_ENT,10_C31_33,IT	: 	: 	: 	: 	: 	: 	: 	: 	28 	: 	: 
E_AESBHM,PC_ENT,10_C31_33,LT	: 	: 	: 	: 	: 	: 	: 	: 	36 	: 	: 
E_AESBHM,PC_ENT,10_C31_33,LU	: 	: 	: 	: 	: 	: 	: 	: 	: c	: 	: 
E_AESBHM,PC_ENT,10_C31_33,LV	: 	: 	: 	: 	: 	: 	: 	: 	25 	: 	: 
E_AESBHM,PC_ENT,10_C31_33,MK	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 
E_AESBHM,PC_ENT,10_C31_33,MT	: 	: 	: 	: 	: 	: 	: 	: 	13 	: 	: 
E_AESBHM,PC_ENT,10_C31_33,NL	: 	: 	: 	: 	: 	: 	: 	: 	47 	: 	: 
E_AESBHM,PC_ENT,10_C31_33,NO	: 	: 	: 	: 	: 	: 	: 	: 	47 	: 	: 
E_AESBHM,PC_ENT,10_C31_33,PL	: 	: 	: 	: 	: 	: 	: 	: 	23 	: 	: 
E_AESBHM,PC_ENT,10_C31_33,PT	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 
E_AESBHM,PC_ENT,10_C31_33,RO	: 	: 	: 	: 	: 	: 	: 	: 	3 	: 	: 
E_AESBHM,PC_ENT,10_C31_33,SE	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 
E_AESBHM,PC_ENT,10_C31_33,SI	: 	: 	: 	: 	: 	: 	: 	: 	26 	: 	: 
E_AESBHM,PC_ENT,10_C31_33,SK	: 	: 	: 	: 	: 	: 	: 	: 	17 	: 	: 
E_AESBHM,PC_ENT,10_C31_33,UK	: 	: 	: 	: 	: 	: 	: 	: 	47 	: 	: 
E_AESBHM,PC_ENT,10_D35_E39,AT	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 
E_AESBHM,PC_ENT,10_D35_E39,BE	: 	: 	: 	: 	: 	: 	: 	: 	22 	: 	: 
